code2,hyname
600175,燃料电池，油品改革，石墨烯，参股保险，金改，锂电池，网约车，钴，小金属概念，天然气，新能源汽车，正极材料，超级电容，小额贷款，油气开采
600176,一带一路，长三角一体化，新材料概念，工业4.0，MSCI预期，富时罗素概念股，标普道琼斯A股，中材系，融资租赁，玻璃纤维
600177,证金持股，参股银行，工业大麻，参股券商，互联网金融，参股保险，举牌
600178,北汽新能源，军工，黑龙江自贸区，节能环保，振兴东北，军工改制，中兵系
600179,航运概念，区块链，黑龙江自贸区，一带一路，股权转让，自由贸易港，ST板块，海南自贸区，物流骨干网
600180,物流电商平台，富时罗素概念股，电子商务，互联网+，供应链金融，互联网金融，标普道琼斯A股，干细胞，互联网平台，机构重仓
600182,黑龙江自贸区，振兴东北，国际板
600183,华为概念，MSCI预期，富时罗素概念股，举牌，标普道琼斯A股，覆铜板概念，液态金属，纳米，元器件
600184,国产航母，军工，央企国资改革，光伏概念，中兵系，太阳能，引力波，军工改制，航天军工，机构重仓
600185,广东自贸区，粤港澳大湾区，横琴新区，富时罗素概念股，标普道琼斯A股，珠海主题公园，珠海国资改革，机构重仓，地方国资改革，广东国资改革
600186,ST板块，壳资源，融资租赁，调味品
600187,美丽中国，污水处理，PPP概念，节能环保，参股万达商业，独角兽概念，黑龙江自贸区，振兴东北，商汤科技概念，水价改革
600188,煤化工，富时罗素概念股，参股银行，稀缺资源，MSCI概念，标普道琼斯A股，醋酸，甲醇，融资租赁，村镇银行，油价上调，机构重仓，地方国资改革，山东国资改革
600189,美丽中国，土地流转，股权转让，振兴东北，纤维板，林场改革，小额贷款，吉林国资改革，地方国资改革
600190,中韩自贸区，一带一路，参股券商，油气运输仓储，含B股，机构重仓
600191,乳业，参股银行，参股券商，白糖，调味品
600192,燃料电池，智能电网，锂电池，风电，油气开采，甘肃国资改革，地方国资改革
600193,壳资源，小金属概念，稀土永磁，ST板块，铁矿石
600195,动物疫苗，禽流感，赛马概念，参股保险，猪瘟疫情，养老金持股，国改双百行动，饲料，兽药，医保目录，流感
600196,青蒿素，仿制药一致性评价，生物医药，民营医院，燃料电池，互联网医疗，细胞免疫治疗，MSCI概念，医疗器械概念，人造肉，富时罗素概念股，标普道琼斯A股，分拆上市意愿，银屑病，大消费，养老金持股，体外诊断，仿制药，创新药，单抗，抗癌，流感，疟
600197,白酒概念，富时罗素概念股，标普道琼斯A股，养老金持股，新疆建设兵团，地方国资改革
600198,5G，芯片概念，卫星导航，金融IC，车联网，物联网，移动支付，智慧城市，集成电路概念，智能穿戴，央企国资改革，创投，摘帽，云计算，芯片设计，5G主设备，新兴板概念，三网融合，IPV6，电子信息，换芯，移动互联网，元器件，NFC
600199,白酒概念，春节概念，地方国资改革
600200,染料，股权转让，仿制药，创新药，医保目录，抗癌，抗辐射药
600201,动物疫苗，禽流感，生物疫苗，证金持股，MSCI预期，富时罗素概念股，标普道琼斯A股，猪瘟疫情，兽药，医保目录，流感
600202,黑龙江自贸区，核电，一带一路，摘帽，振兴东北，中俄自贸区，地方国资改革
600203,超清视频，华为概念，节能照明，物联网，超导，工业大麻，透明工厂，新基建，国改双百行动，元器件，指纹技术
600206,稀土永磁，小金属概念，5G，新材料概念，央企国资改革，OLED，芯片概念，军工，富时罗素概念股，华为概念，标普道琼斯A股，OLED材料，砷化镓，芯片材料，硅晶圆，靶材，钌催化剂，多晶硅，4D打印
600207,光伏概念，天然气，台湾概念股，富士康概念，独角兽概念，郭台铭概念，3D玻璃，地方国资改革，光伏玻璃，特种玻璃，河南国资改革
600208,富时罗素概念股，互联网金融，期货概念，参股券商，MSCI概念，大数据，独角兽概念，区块链，长三角一体化，标普道琼斯A股，金融科技，区块链应用
600209,ST板块，土地流转，海南自贸区，元器件，聚土地概念，新型城镇化，海南旅游岛
600210,创投，富时罗素概念股，标普道琼斯A股，新兴板概念
600211,中医药，医保目录，人脑工程，小额贷款，抗癌，藏药，冬虫夏草
600212,股权转让，壳资源，央企国资改革
600213,燃料电池，新能源汽车，新能源整车，汽车制造概念，地方国资改革，山东国资改革
600215,股权转让，振兴东北
600216,青蒿素，禽流感，标普道琼斯A股，富时罗素概念股，创新药，疟疾，维生素，抗癌，医保目录
600217,垃圾分类，固废处理，供销社
600218,燃料电池，地方国资改革
600219,锂电池，证金持股，一带一路，高铁，通用航空，物流电商平台，供应链金融，参股保险，大飞机，富时罗素概念股，标普道琼斯A股，氧化铝，航空航天，低碳，地方国资改革
600220,生物医药
600221,雄安新区，厚朴系，海南自贸区，雄安金融，春运，油价下调，航空租赁，海南旅游岛，人民币升值，含B股，海航系
600222,禽流感，生物医药，参股银行，中医药，流感，医保目录，地方国资改革
600223,养老概念，新型城镇化，地方国资改革，山东国资改革
600225,天津自贸区，云计算，华为概念，智慧城市，融资租赁
600226,大数据，互联网金融，创投，禽流感，网络游戏，腾讯概念，职业教育，文化传媒，手机游戏，独角兽概念，移动互联网，影视娱乐，动漫
